Algo: i2aEnvironment: HuntMiniPacmanNoFrameskip-v0
Updates 0, num timesteps 2560, FPS 522, mean/median reward -12.2/-20.0, min/max reward -40.0/0.0, entropy 1.60944, value loss 122.28074, policy loss -9.80785, distill_loss -0.00014, time 0.08172 min
Updates 17670, num timesteps 45237760, FPS 805, mean/median reward -1.0/2.0, min/max reward -20.0/14.0, entropy 1.14525, value loss 0.00391, policy loss 0.00586, distill_loss -0.97523, time 936.44552 min
Updates 17680, num timesteps 45263360, FPS 805, mean/median reward -1.2/2.0, min/max reward -20.0/14.0, entropy 1.13625, value loss 0.20000, policy loss 0.02822, distill_loss -1.16509, time 937.02200 min
Updates 17690, num timesteps 45288960, FPS 805, mean/median reward -0.7/2.0, min/max reward -20.0/14.0, entropy 1.14800, value loss 0.00435, policy loss 0.01313, distill_loss -1.13107, time 937.54017 min
Updates 17700, num timesteps 45314560, FPS 805, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.09616, value loss 2.03745, policy loss -0.14917, distill_loss -1.12719, time 938.09702 min
Updates 17710, num timesteps 45340160, FPS 805, mean/median reward 0.1/2.0, min/max reward -20.0/14.0, entropy 1.13174, value loss 0.01608, policy loss 0.01441, distill_loss -1.11604, time 938.61205 min
Updates 17720, num timesteps 45365760, FPS 805, mean/median reward 0.3/2.0, min/max reward -20.0/14.0, entropy 1.09330, value loss 0.68862, policy loss 0.08492, distill_loss -0.87414, time 939.12983 min
Updates 17730, num timesteps 45391360, FPS 805, mean/median reward -0.1/2.0, min/max reward -20.0/14.0, entropy 1.13088, value loss 0.08096, policy loss 0.00973, distill_loss -1.00690, time 939.64448 min
Updates 17740, num timesteps 45416960, FPS 805, mean/median reward 0.2/2.0, min/max reward -20.0/14.0, entropy 1.06505, value loss 0.02656, policy loss 0.01306, distill_loss -0.94521, time 940.16032 min
Updates 17750, num timesteps 45442560, FPS 805, mean/median reward 0.4/2.0, min/max reward -20.0/14.0, entropy 1.11628, value loss 0.53946, policy loss 0.05993, distill_loss -1.19913, time 940.67530 min
Updates 17760, num timesteps 45468160, FPS 805, mean/median reward 0.2/2.0, min/max reward -20.0/14.0, entropy 1.11395, value loss 0.04051, policy loss 0.01835, distill_loss -1.07632, time 941.32763 min
Updates 17770, num timesteps 45493760, FPS 805, mean/median reward 0.1/2.0, min/max reward -20.0/14.0, entropy 1.11818, value loss 0.00236, policy loss -0.00228, distill_loss -1.20786, time 941.84386 min
Updates 17780, num timesteps 45519360, FPS 805, mean/median reward -0.1/2.0, min/max reward -20.0/14.0, entropy 1.07830, value loss 0.34922, policy loss 0.04388, distill_loss -1.47028, time 942.36006 min
Updates 17790, num timesteps 45544960, FPS 805, mean/median reward 0.0/2.0, min/max reward -20.0/14.0, entropy 1.08966, value loss 0.00150, policy loss 0.00336, distill_loss -1.55901, time 942.87746 min
Updates 17800, num timesteps 45570560, FPS 805, mean/median reward 0.4/2.0, min/max reward -20.0/14.0, entropy 1.08690, value loss 0.05405, policy loss 0.03920, distill_loss -1.52353, time 943.41941 min
Updates 17810, num timesteps 45596160, FPS 805, mean/median reward 0.2/2.0, min/max reward -20.0/14.0, entropy 1.07652, value loss 6.04953, policy loss -0.20406, distill_loss -1.20932, time 943.94751 min
Updates 17820, num timesteps 45621760, FPS 805, mean/median reward 0.7/2.0, min/max reward -20.0/14.0, entropy 1.08740, value loss 0.01508, policy loss 0.01891, distill_loss -1.41864, time 944.46195 min
Updates 17830, num timesteps 45647360, FPS 805, mean/median reward 0.8/2.0, min/max reward -20.0/14.0, entropy 1.09150, value loss 0.01072, policy loss 0.00960, distill_loss -1.41429, time 944.97970 min
Updates 17840, num timesteps 45672960, FPS 805, mean/median reward 1.0/2.0, min/max reward -20.0/14.0, entropy 1.15528, value loss 0.02023, policy loss 0.00749, distill_loss -1.49348, time 945.53296 min
Updates 17850, num timesteps 45698560, FPS 805, mean/median reward 0.5/2.0, min/max reward -20.0/14.0, entropy 1.08543, value loss 0.01535, policy loss 0.01329, distill_loss -1.20071, time 946.04715 min
Updates 17860, num timesteps 45724160, FPS 804, mean/median reward 0.4/2.0, min/max reward -20.0/14.0, entropy 1.10385, value loss 0.03081, policy loss 0.00855, distill_loss -1.54897, time 946.69680 min
Updates 17870, num timesteps 45749760, FPS 804, mean/median reward 0.6/2.0, min/max reward -20.0/14.0, entropy 1.08386, value loss 0.24621, policy loss 0.03278, distill_loss -1.25889, time 947.22116 min
Updates 17880, num timesteps 45775360, FPS 804, mean/median reward 1.2/2.0, min/max reward -20.0/14.0, entropy 1.11322, value loss 0.01739, policy loss 0.00868, distill_loss -1.29206, time 947.73546 min
Updates 17890, num timesteps 45800960, FPS 804, mean/median reward 1.3/2.0, min/max reward -20.0/14.0, entropy 1.12446, value loss 0.04660, policy loss 0.03738, distill_loss -1.09109, time 948.44784 min
Updates 17900, num timesteps 45826560, FPS 804, mean/median reward 1.2/2.0, min/max reward -20.0/14.0, entropy 1.10475, value loss 0.04867, policy loss 0.00512, distill_loss -1.05555, time 949.09542 min
Updates 17910, num timesteps 45852160, FPS 804, mean/median reward 1.6/2.0, min/max reward -20.0/14.0, entropy 1.08616, value loss 0.52856, policy loss 0.05566, distill_loss -1.19524, time 949.61510 min
Updates 17920, num timesteps 45877760, FPS 804, mean/median reward 1.3/2.0, min/max reward -20.0/14.0, entropy 1.10834, value loss 0.13462, policy loss 0.02821, distill_loss -1.35414, time 950.13099 min
Updates 17930, num timesteps 45903360, FPS 804, mean/median reward 1.4/2.0, min/max reward -20.0/14.0, entropy 1.14308, value loss 0.00675, policy loss -0.01120, distill_loss -1.37978, time 950.65588 min
Updates 17940, num timesteps 45928960, FPS 804, mean/median reward 1.0/2.0, min/max reward -20.0/14.0, entropy 1.11982, value loss 0.00560, policy loss -0.00530, distill_loss -1.21188, time 951.17234 min
Updates 17950, num timesteps 45954560, FPS 804, mean/median reward 0.4/2.0, min/max reward -20.0/14.0, entropy 1.08117, value loss 0.59116, policy loss 0.04684, distill_loss -1.28955, time 951.76408 min
Updates 17960, num timesteps 45980160, FPS 804, mean/median reward 0.8/2.0, min/max reward -20.0/14.0, entropy 1.12739, value loss 0.01064, policy loss 0.00491, distill_loss -1.17244, time 952.28284 min
Updates 17970, num timesteps 46005760, FPS 804, mean/median reward 0.3/2.0, min/max reward -20.0/14.0, entropy 1.08716, value loss 1.80731, policy loss -0.11762, distill_loss -1.18084, time 952.89038 min
Updates 17980, num timesteps 46031360, FPS 804, mean/median reward 0.4/2.0, min/max reward -20.0/14.0, entropy 1.07837, value loss 0.13323, policy loss 0.00197, distill_loss -1.34028, time 953.53817 min
Updates 17990, num timesteps 46056960, FPS 804, mean/median reward 0.4/2.0, min/max reward -20.0/14.0, entropy 1.10015, value loss 0.01380, policy loss 0.01745, distill_loss -1.34712, time 954.09035 min
Updates 18000, num timesteps 46082560, FPS 804, mean/median reward 0.9/2.0, min/max reward -20.0/14.0, entropy 1.11952, value loss 1.10540, policy loss 0.13828, distill_loss -1.35669, time 954.61395 min
Updates 18010, num timesteps 46108160, FPS 804, mean/median reward 0.7/2.0, min/max reward -20.0/14.0, entropy 1.09844, value loss 0.01214, policy loss -0.00534, distill_loss -1.32365, time 955.13212 min
Updates 18020, num timesteps 46133760, FPS 804, mean/median reward 0.2/2.0, min/max reward -20.0/14.0, entropy 1.08894, value loss 0.01646, policy loss 0.01483, distill_loss -1.61669, time 955.72491 min
Updates 18030, num timesteps 46159360, FPS 804, mean/median reward 0.3/2.0, min/max reward -20.0/14.0, entropy 1.07736, value loss 0.11870, policy loss 0.03548, distill_loss -1.09049, time 956.23998 min
Updates 18040, num timesteps 46184960, FPS 804, mean/median reward 0.1/2.0, min/max reward -20.0/14.0, entropy 1.06720, value loss 0.01878, policy loss -0.00738, distill_loss -1.49224, time 956.75731 min
Updates 18050, num timesteps 46210560, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.07586, value loss 3.73470, policy loss -0.15830, distill_loss -1.43116, time 957.33326 min
Updates 18060, num timesteps 46236160, FPS 804, mean/median reward 0.1/2.0, min/max reward -20.0/14.0, entropy 1.12360, value loss 0.01144, policy loss 0.00994, distill_loss -1.19007, time 957.85223 min
Updates 18070, num timesteps 46261760, FPS 804, mean/median reward 0.6/2.0, min/max reward -20.0/14.0, entropy 1.08536, value loss 0.00904, policy loss 0.00244, distill_loss -1.00816, time 958.37133 min
Updates 18080, num timesteps 46287360, FPS 804, mean/median reward 0.5/2.0, min/max reward -20.0/14.0, entropy 1.03476, value loss 0.00589, policy loss -0.00680, distill_loss -1.03480, time 958.88356 min
Updates 18090, num timesteps 46312960, FPS 804, mean/median reward 0.2/2.0, min/max reward -20.0/14.0, entropy 1.10192, value loss 0.47523, policy loss -0.03217, distill_loss -1.21899, time 959.39901 min
Updates 18100, num timesteps 46338560, FPS 804, mean/median reward 0.2/2.0, min/max reward -20.0/14.0, entropy 1.07169, value loss 0.46380, policy loss 0.05007, distill_loss -1.28156, time 959.99327 min
Updates 18110, num timesteps 46364160, FPS 804, mean/median reward -1.0/2.0, min/max reward -20.0/14.0, entropy 1.06289, value loss 0.00906, policy loss -0.00088, distill_loss -1.30782, time 960.51096 min
Updates 18120, num timesteps 46389760, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.09227, value loss 0.02304, policy loss -0.01703, distill_loss -0.97756, time 961.10184 min
Updates 18130, num timesteps 46415360, FPS 804, mean/median reward -0.1/2.0, min/max reward -20.0/14.0, entropy 1.05488, value loss 0.17365, policy loss 0.06126, distill_loss -1.05143, time 961.61940 min
Updates 18140, num timesteps 46440960, FPS 804, mean/median reward -0.3/2.0, min/max reward -20.0/14.0, entropy 1.09468, value loss 0.02024, policy loss -0.00812, distill_loss -1.28374, time 962.13808 min
Updates 18150, num timesteps 46466560, FPS 804, mean/median reward -0.3/2.0, min/max reward -20.0/14.0, entropy 1.08809, value loss 0.04364, policy loss 0.05562, distill_loss -0.94056, time 962.75375 min
Updates 18160, num timesteps 46492160, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.08502, value loss 0.55412, policy loss -0.10010, distill_loss -1.06718, time 963.27210 min
Updates 18170, num timesteps 46517760, FPS 804, mean/median reward 0.3/2.0, min/max reward -20.0/14.0, entropy 1.08652, value loss 0.02408, policy loss 0.01836, distill_loss -1.25793, time 963.79141 min
Updates 18180, num timesteps 46543360, FPS 804, mean/median reward 0.1/2.0, min/max reward -20.0/14.0, entropy 1.10138, value loss 0.61693, policy loss 0.06441, distill_loss -1.18104, time 964.36060 min
Updates 18190, num timesteps 46568960, FPS 804, mean/median reward 0.1/2.0, min/max reward -20.0/14.0, entropy 1.10161, value loss 0.01386, policy loss 0.00138, distill_loss -1.10787, time 964.87715 min
Updates 18200, num timesteps 46594560, FPS 804, mean/median reward 0.5/2.0, min/max reward -20.0/14.0, entropy 1.08987, value loss 0.02023, policy loss 0.02093, distill_loss -1.31904, time 965.58309 min
Updates 18210, num timesteps 46620160, FPS 804, mean/median reward -0.1/2.0, min/max reward -20.0/14.0, entropy 1.07580, value loss 0.62707, policy loss 0.08174, distill_loss -1.38735, time 966.10156 min
Updates 18220, num timesteps 46645760, FPS 804, mean/median reward -0.2/2.0, min/max reward -20.0/14.0, entropy 1.09815, value loss 2.12038, policy loss 0.06619, distill_loss -1.74803, time 966.62614 min
Updates 18230, num timesteps 46671360, FPS 804, mean/median reward -0.5/2.0, min/max reward -20.0/14.0, entropy 1.10019, value loss 0.33843, policy loss 0.04024, distill_loss -1.53418, time 967.14335 min
Updates 18240, num timesteps 46696960, FPS 804, mean/median reward -0.1/2.0, min/max reward -20.0/14.0, entropy 1.11534, value loss 1.96893, policy loss -0.09369, distill_loss -1.59011, time 967.72540 min
Updates 18250, num timesteps 46722560, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.12640, value loss 0.78096, policy loss -0.03772, distill_loss -1.56648, time 968.24019 min
Updates 18260, num timesteps 46748160, FPS 804, mean/median reward 0.7/2.0, min/max reward -20.0/14.0, entropy 1.12288, value loss 0.01717, policy loss 0.00167, distill_loss -1.55143, time 968.76352 min
Updates 18270, num timesteps 46773760, FPS 804, mean/median reward 0.6/2.0, min/max reward -20.0/14.0, entropy 1.10458, value loss 0.01823, policy loss 0.00787, distill_loss -1.43765, time 969.28698 min
Updates 18280, num timesteps 46799360, FPS 804, mean/median reward 0.7/2.0, min/max reward -20.0/14.0, entropy 1.09618, value loss 0.29930, policy loss 0.03350, distill_loss -1.44584, time 969.80212 min
Updates 18290, num timesteps 46824960, FPS 804, mean/median reward 1.0/2.0, min/max reward -20.0/14.0, entropy 1.11617, value loss 0.27468, policy loss 0.04320, distill_loss -1.53989, time 970.32043 min
Updates 18300, num timesteps 46850560, FPS 804, mean/median reward 0.9/2.0, min/max reward -20.0/14.0, entropy 1.10196, value loss 1.88443, policy loss -0.04104, distill_loss -1.60446, time 970.94553 min
Updates 18310, num timesteps 46876160, FPS 804, mean/median reward 1.0/2.0, min/max reward -20.0/14.0, entropy 1.12636, value loss 0.00469, policy loss 0.00420, distill_loss -1.62105, time 971.48326 min
Updates 18320, num timesteps 46901760, FPS 804, mean/median reward 1.2/2.0, min/max reward -20.0/14.0, entropy 1.15224, value loss 0.44168, policy loss 0.02027, distill_loss -1.42442, time 972.00452 min
Updates 18330, num timesteps 46927360, FPS 804, mean/median reward 0.7/2.0, min/max reward -20.0/14.0, entropy 1.10332, value loss 0.00556, policy loss 0.00958, distill_loss -1.69794, time 972.52486 min
Updates 18340, num timesteps 46952960, FPS 804, mean/median reward 0.9/2.0, min/max reward -20.0/14.0, entropy 1.10816, value loss 0.00353, policy loss 0.00420, distill_loss -1.51160, time 973.04380 min
Updates 18350, num timesteps 46978560, FPS 804, mean/median reward 1.1/2.0, min/max reward -20.0/14.0, entropy 1.10544, value loss 0.69863, policy loss 0.09580, distill_loss -1.52999, time 973.55920 min
Updates 18360, num timesteps 47004160, FPS 804, mean/median reward 0.9/2.0, min/max reward -20.0/14.0, entropy 1.13216, value loss 0.00682, policy loss -0.00047, distill_loss -1.73471, time 974.11348 min
Updates 18370, num timesteps 47029760, FPS 804, mean/median reward 1.1/2.0, min/max reward -20.0/14.0, entropy 1.09317, value loss 0.49860, policy loss 0.03910, distill_loss -1.44002, time 974.66861 min
Updates 18380, num timesteps 47055360, FPS 804, mean/median reward 0.7/2.0, min/max reward -20.0/14.0, entropy 1.13248, value loss 0.01218, policy loss 0.01050, distill_loss -1.37595, time 975.18863 min
Updates 18390, num timesteps 47080960, FPS 804, mean/median reward 0.3/2.0, min/max reward -20.0/14.0, entropy 1.11176, value loss 0.00788, policy loss 0.02354, distill_loss -1.36385, time 975.72340 min
Updates 18400, num timesteps 47106560, FPS 804, mean/median reward 0.1/2.0, min/max reward -20.0/14.0, entropy 1.10673, value loss 0.00316, policy loss -0.00047, distill_loss -1.38750, time 976.28800 min
Updates 18410, num timesteps 47132160, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.14337, value loss 3.09305, policy loss -0.11896, distill_loss -1.29112, time 976.80773 min
Updates 18420, num timesteps 47157760, FPS 804, mean/median reward -0.5/2.0, min/max reward -20.0/14.0, entropy 1.10851, value loss 2.39433, policy loss -0.15494, distill_loss -1.07677, time 977.38356 min
Updates 18430, num timesteps 47183360, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.09874, value loss 0.62898, policy loss -0.04823, distill_loss -1.13129, time 977.89910 min
Updates 18440, num timesteps 47208960, FPS 804, mean/median reward -0.5/2.0, min/max reward -20.0/14.0, entropy 1.08850, value loss 0.00755, policy loss 0.00952, distill_loss -1.05496, time 978.42041 min
Updates 18450, num timesteps 47234560, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.10101, value loss 0.03577, policy loss 0.02394, distill_loss -1.22256, time 978.94678 min
Updates 18460, num timesteps 47260160, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.11695, value loss 0.32756, policy loss 0.04239, distill_loss -1.03874, time 979.46670 min
Updates 18470, num timesteps 47285760, FPS 804, mean/median reward -0.9/2.0, min/max reward -20.0/14.0, entropy 1.08015, value loss 0.00382, policy loss 0.00307, distill_loss -1.32576, time 979.98366 min
Updates 18480, num timesteps 47311360, FPS 804, mean/median reward -1.5/2.0, min/max reward -20.0/14.0, entropy 1.13626, value loss 0.50713, policy loss 0.04475, distill_loss -1.48666, time 980.56307 min
Updates 18490, num timesteps 47336960, FPS 804, mean/median reward -1.8/2.0, min/max reward -20.0/14.0, entropy 1.03676, value loss 0.91321, policy loss -0.06240, distill_loss -1.42490, time 981.08170 min
Updates 18500, num timesteps 47362560, FPS 804, mean/median reward -1.9/2.0, min/max reward -20.0/14.0, entropy 1.10504, value loss 0.01222, policy loss 0.00060, distill_loss -1.16946, time 981.69239 min
Updates 18510, num timesteps 47388160, FPS 804, mean/median reward -1.9/2.0, min/max reward -20.0/14.0, entropy 1.03897, value loss 2.04418, policy loss -0.18088, distill_loss -1.73933, time 982.23196 min
Updates 18520, num timesteps 47413760, FPS 804, mean/median reward -1.4/2.0, min/max reward -20.0/14.0, entropy 1.08662, value loss 0.01209, policy loss -0.00889, distill_loss -1.72815, time 982.75027 min
Updates 18530, num timesteps 47439360, FPS 804, mean/median reward -0.9/2.0, min/max reward -20.0/14.0, entropy 1.03486, value loss 0.67807, policy loss 0.05912, distill_loss -1.34473, time 983.26858 min
Updates 18540, num timesteps 47464960, FPS 804, mean/median reward -1.0/2.0, min/max reward -20.0/14.0, entropy 1.10207, value loss 0.02115, policy loss 0.02549, distill_loss -1.08616, time 983.78710 min
Updates 18550, num timesteps 47490560, FPS 804, mean/median reward -1.0/2.0, min/max reward -20.0/14.0, entropy 1.05092, value loss 2.46988, policy loss -0.06545, distill_loss -0.83911, time 984.31059 min
Updates 18560, num timesteps 47516160, FPS 804, mean/median reward -0.7/2.0, min/max reward -20.0/14.0, entropy 1.08795, value loss 2.00517, policy loss -0.20981, distill_loss -1.11134, time 984.82734 min
Updates 18570, num timesteps 47541760, FPS 804, mean/median reward -0.8/2.0, min/max reward -20.0/14.0, entropy 1.10338, value loss 0.00430, policy loss 0.00694, distill_loss -1.11691, time 985.37902 min
Updates 18580, num timesteps 47567360, FPS 804, mean/median reward -0.5/2.0, min/max reward -20.0/14.0, entropy 1.09725, value loss 1.86359, policy loss -0.12565, distill_loss -1.06264, time 985.90997 min
Updates 18590, num timesteps 47592960, FPS 804, mean/median reward -0.8/2.0, min/max reward -20.0/14.0, entropy 1.07523, value loss 0.46801, policy loss -0.05343, distill_loss -1.26839, time 986.49875 min
Updates 18600, num timesteps 47618560, FPS 804, mean/median reward -1.4/2.0, min/max reward -20.0/14.0, entropy 1.05384, value loss 0.01360, policy loss -0.01058, distill_loss -1.26004, time 987.02908 min
Updates 18610, num timesteps 47644160, FPS 804, mean/median reward -1.5/2.0, min/max reward -20.0/14.0, entropy 1.03740, value loss 0.02143, policy loss 0.03764, distill_loss -1.02179, time 987.55401 min
Updates 18620, num timesteps 47669760, FPS 804, mean/median reward -1.1/2.0, min/max reward -20.0/14.0, entropy 1.08442, value loss 0.18669, policy loss -0.05313, distill_loss -1.03966, time 988.07476 min
Updates 18630, num timesteps 47695360, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.01584, value loss 0.02892, policy loss 0.02784, distill_loss -1.67522, time 988.59396 min
Updates 18640, num timesteps 47720960, FPS 804, mean/median reward -0.2/2.0, min/max reward -20.0/14.0, entropy 1.01398, value loss 0.07425, policy loss 0.00538, distill_loss -1.48222, time 989.11159 min
Updates 18650, num timesteps 47746560, FPS 804, mean/median reward -0.0/2.0, min/max reward -20.0/14.0, entropy 1.04231, value loss 0.29010, policy loss 0.00953, distill_loss -1.17155, time 989.63007 min
Updates 18660, num timesteps 47772160, FPS 804, mean/median reward 0.6/2.0, min/max reward -20.0/14.0, entropy 1.11035, value loss 0.01192, policy loss -0.00112, distill_loss -1.56259, time 990.14580 min
Updates 18670, num timesteps 47797760, FPS 804, mean/median reward 0.5/2.0, min/max reward -20.0/14.0, entropy 1.08096, value loss 0.25557, policy loss 0.05273, distill_loss -1.35693, time 990.66493 min
Updates 18680, num timesteps 47823360, FPS 804, mean/median reward 0.0/2.0, min/max reward -20.0/14.0, entropy 1.08949, value loss 0.00924, policy loss 0.01867, distill_loss -1.04675, time 991.18311 min
Updates 18690, num timesteps 47848960, FPS 804, mean/median reward 0.2/2.0, min/max reward -20.0/14.0, entropy 1.12286, value loss 0.00230, policy loss -0.00102, distill_loss -1.42966, time 991.70107 min
Updates 18700, num timesteps 47874560, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.08641, value loss 4.47950, policy loss -0.29062, distill_loss -1.59732, time 992.25477 min
Updates 18710, num timesteps 47900160, FPS 804, mean/median reward -0.5/2.0, min/max reward -20.0/14.0, entropy 1.05069, value loss 0.22039, policy loss 0.04585, distill_loss -1.44895, time 992.77350 min
Updates 18720, num timesteps 47925760, FPS 804, mean/median reward -0.2/2.0, min/max reward -20.0/14.0, entropy 1.10792, value loss 0.09859, policy loss 0.02061, distill_loss -1.45469, time 993.28984 min
Updates 18730, num timesteps 47951360, FPS 804, mean/median reward -0.6/2.0, min/max reward -20.0/14.0, entropy 1.03841, value loss 0.01953, policy loss -0.01224, distill_loss -1.36404, time 993.81270 min
Updates 18740, num timesteps 47976960, FPS 804, mean/median reward -0.3/2.0, min/max reward -20.0/14.0, entropy 1.14258, value loss 0.44229, policy loss -0.01160, distill_loss -1.23910, time 994.33306 min
Updates 18750, num timesteps 48002560, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.12803, value loss 0.01574, policy loss -0.00770, distill_loss -1.39728, time 994.85397 min
Updates 18760, num timesteps 48028160, FPS 804, mean/median reward -0.5/2.0, min/max reward -20.0/14.0, entropy 1.09917, value loss 0.27406, policy loss 0.03264, distill_loss -0.82189, time 995.37358 min
Updates 18770, num timesteps 48053760, FPS 804, mean/median reward -0.7/2.0, min/max reward -20.0/14.0, entropy 1.10720, value loss 0.05582, policy loss 0.00515, distill_loss -0.91164, time 995.89273 min
Updates 18780, num timesteps 48079360, FPS 804, mean/median reward -0.9/2.0, min/max reward -20.0/14.0, entropy 1.08808, value loss 0.01117, policy loss 0.01297, distill_loss -1.25445, time 996.41374 min
Updates 18790, num timesteps 48104960, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.10679, value loss 0.45162, policy loss 0.04608, distill_loss -1.20820, time 997.00998 min
Updates 18800, num timesteps 48130560, FPS 804, mean/median reward -0.3/2.0, min/max reward -20.0/14.0, entropy 1.12814, value loss 0.14829, policy loss 0.01091, distill_loss -1.32276, time 997.53058 min
Updates 18810, num timesteps 48156160, FPS 804, mean/median reward -0.6/2.0, min/max reward -20.0/14.0, entropy 1.13546, value loss 0.10940, policy loss 0.02821, distill_loss -1.36819, time 998.05241 min
Updates 18820, num timesteps 48181760, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.08495, value loss 0.61105, policy loss 0.06619, distill_loss -1.41082, time 998.57120 min
Updates 18830, num timesteps 48207360, FPS 804, mean/median reward -0.4/2.0, min/max reward -20.0/14.0, entropy 1.11609, value loss 0.66132, policy loss 0.08679, distill_loss -1.38241, time 999.09324 min
Updates 18840, num timesteps 48232960, FPS 804, mean/median reward -0.0/2.0, min/max reward -20.0/14.0, entropy 1.13730, value loss 0.08951, policy loss 0.03904, distill_loss -1.17895, time 999.64076 min
Updates 18850, num timesteps 48258560, FPS 804, mean/median reward 0.6/2.0, min/max reward -20.0/14.0, entropy 1.12132, value loss 0.02499, policy loss -0.01433, distill_loss -1.34163, time 1000.17289 min
Updates 18860, num timesteps 48284160, FPS 804, mean/median reward 0.6/2.0, min/max reward -20.0/14.0, entropy 1.14276, value loss 0.64351, policy loss -0.06091, distill_loss -1.38990, time 1000.68788 min
Updates 18870, num timesteps 48309760, FPS 804, mean/median reward -0.2/2.0, min/max reward -20.0/14.0, entropy 1.11061, value loss 0.01602, policy loss 0.00462, distill_loss -1.28716, time 1001.22698 min
Updates 18880, num timesteps 48335360, FPS 804, mean/median reward 0.0/2.0, min/max reward -20.0/14.0, entropy 1.07882, value loss 0.39236, policy loss 0.02151, distill_loss -1.33294, time 1001.74160 min
Updates 18890, num timesteps 48360960, FPS 804, mean/median reward 0.3/2.0, min/max reward -20.0/14.0, entropy 1.08209, value loss 0.03591, policy loss 0.01677, distill_loss -1.30747, time 1002.31892 min
Updates 18900, num timesteps 48386560, FPS 804, mean/median reward 0.4/2.0, min/max reward -20.0/14.0, entropy 1.08132, value loss 0.00539, policy loss -0.00639, distill_loss -1.44185, time 1002.84252 min
Updates 18910, num timesteps 48412160, FPS 804, mean/median reward 0.5/2.0, min/max reward -20.0/14.0, entropy 1.10390, value loss 1.31290, policy loss 0.02103, distill_loss -1.53738, time 1003.36911 min
Updates 18920, num timesteps 48437760, FPS 804, mean/median reward 0.6/2.0, min/max reward -20.0/14.0, entropy 1.10067, value loss 0.46788, policy loss 0.07532, distill_loss -1.34496, time 1003.88823 min
Updates 18930, num timesteps 48463360, FPS 804, mean/median reward 1.0/2.0, min/max reward -20.0/14.0, entropy 1.10151, value loss 0.25270, policy loss 0.05293, distill_loss -1.26634, time 1004.43167 min
Updates 18940, num timesteps 48488960, FPS 804, mean/median reward 0.5/2.0, min/max reward -20.0/14.0, entropy 1.10341, value loss 0.00306, policy loss -0.00035, distill_loss -1.35838, time 1004.94832 min
Updates 18950, num timesteps 48514560, FPS 804, mean/median reward 0.5/2.0, min/max reward -20.0/14.0, entropy 1.06935, value loss 0.44536, policy loss 0.05433, distill_loss -1.52639, time 1005.47253 min
Updates 18960, num timesteps 48540160, FPS 804, mean/median reward 0.5/2.0, min/max reward -20.0/14.0, entropy 1.04704, value loss 0.00893, policy loss 0.01387, distill_loss -1.83278, time 1005.99160 min
Updates 18970, num timesteps 48565760, FPS 804, mean/median reward 0.4/2.0, min/max reward -20.0/14.0, entropy 1.06719, value loss 0.01467, policy loss 0.00764, distill_loss -1.84320, time 1006.52847 min
Updates 18980, num timesteps 48591360, FPS 804, mean/median reward 0.1/2.0, min/max reward -20.0/14.0, entropy 1.08949, value loss 0.00670, policy loss 0.00748, distill_loss -1.68979, time 1007.04976 min
Updates 18990, num timesteps 48616960, FPS 804, mean/median reward 0.1/2.0, min/max reward -20.0/35.0, entropy 1.08553, value loss 0.40787, policy loss 0.06966, distill_loss -1.80931, time 1007.56779 min
Updates 19000, num timesteps 48642560, FPS 804, mean/median reward 0.1/2.0, min/max reward -20.0/35.0, entropy 1.13094, value loss 0.01982, policy loss 0.02012, distill_loss -1.52760, time 1008.17478 min
Updates 19010, num timesteps 48668160, FPS 804, mean/median reward 0.1/2.0, min/max reward -20.0/35.0, entropy 1.09780, value loss 0.38535, policy loss 0.01843, distill_loss -1.50949, time 1008.69146 min
Updates 19020, num timesteps 48693760, FPS 804, mean/median reward 0.5/2.0, min/max reward -20.0/35.0, entropy 1.06943, value loss 0.00595, policy loss -0.01286, distill_loss -1.88831, time 1009.22158 min
Updates 19030, num timesteps 48719360, FPS 804, mean/median reward 0.6/2.0, min/max reward -20.0/35.0, entropy 1.04147, value loss 0.49622, policy loss 0.02120, distill_loss -1.60343, time 1009.73805 min
Updates 19040, num timesteps 48744960, FPS 804, mean/median reward 0.6/2.0, min/max reward -20.0/35.0, entropy 1.06438, value loss 0.01441, policy loss 0.00596, distill_loss -1.53532, time 1010.25835 min
