command line args: main.py --environment-model CopyModel --env-name HuntMiniPacmanNoFrameskip-v0 --algo i2a --log-interval 10 --num-processes 128 --num-stack 1 --distill-coef 10 --entropy-coef 0.02 --port 5027
Updates 0, num timesteps 640, FPS 695, mean/median reward -2.3/0.0, min/max reward -20.0/0.0, entropy 1.60919, value loss 21.55485, policy loss -1.34010, distill_loss 0.19072, time 0.01534 min
Updates 82330, num timesteps 52691840, FPS 1597, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01989, value loss 0.62233, policy loss 0.00074, distill_loss -242.93826, time 549.87652 min
Updates 82340, num timesteps 52698240, FPS 1597, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.03065, value loss 0.38749, policy loss -0.00298, distill_loss -238.44009, time 549.94593 min
Updates 82350, num timesteps 52704640, FPS 1597, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03187, value loss 0.39303, policy loss 0.01104, distill_loss -252.69653, time 550.00091 min
Updates 82360, num timesteps 52711040, FPS 1597, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.04671, value loss 0.52614, policy loss -0.00823, distill_loss -259.47192, time 550.05630 min
Updates 82370, num timesteps 52717440, FPS 1597, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03627, value loss 0.34160, policy loss -0.00714, distill_loss -247.39680, time 550.11005 min
Updates 82380, num timesteps 52723840, FPS 1597, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01643, value loss 0.49448, policy loss -0.00045, distill_loss -231.15251, time 550.16608 min
Updates 82390, num timesteps 52730240, FPS 1597, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03015, value loss 0.43538, policy loss 0.00154, distill_loss -245.97502, time 550.21891 min
Updates 82400, num timesteps 52736640, FPS 1597, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.03442, value loss 0.39426, policy loss -0.01008, distill_loss -243.24008, time 550.33883 min
Updates 82410, num timesteps 52743040, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02081, value loss 0.45809, policy loss 0.00296, distill_loss -246.88794, time 550.53160 min
Updates 82420, num timesteps 52749440, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03555, value loss 0.54435, policy loss 0.00082, distill_loss -257.34961, time 550.58654 min
Updates 82430, num timesteps 52755840, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01426, value loss 0.43035, policy loss -0.01113, distill_loss -234.79895, time 550.64172 min
Updates 82440, num timesteps 52762240, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02830, value loss 0.46505, policy loss 0.00834, distill_loss -237.14238, time 550.69461 min
Updates 82450, num timesteps 52768640, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01563, value loss 0.50570, policy loss 0.00417, distill_loss -235.72432, time 550.75321 min
Updates 82460, num timesteps 52775040, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03073, value loss 0.31353, policy loss 0.00675, distill_loss -245.59399, time 550.81023 min
Updates 82470, num timesteps 52781440, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01803, value loss 0.71223, policy loss 0.00124, distill_loss -247.22940, time 550.86605 min
Updates 82480, num timesteps 52787840, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02371, value loss 0.44091, policy loss -0.00142, distill_loss -232.58936, time 550.92527 min
Updates 82490, num timesteps 52794240, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02047, value loss 1.14143, policy loss 0.00910, distill_loss -246.80000, time 551.02018 min
Updates 82500, num timesteps 52800640, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05472, value loss 0.37010, policy loss 0.00248, distill_loss -229.64494, time 551.10115 min
Updates 82510, num timesteps 52807040, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03255, value loss 0.37978, policy loss 0.00298, distill_loss -249.54758, time 551.31956 min
Updates 82520, num timesteps 52813440, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02635, value loss 0.53641, policy loss 0.00542, distill_loss -236.60574, time 551.37394 min
Updates 82530, num timesteps 52819840, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00601, value loss 0.64421, policy loss 0.00665, distill_loss -259.11237, time 551.48496 min
Updates 82540, num timesteps 52826240, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01421, value loss 0.50303, policy loss -0.00172, distill_loss -246.65103, time 551.53821 min
Updates 82550, num timesteps 52832640, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.03088, value loss 1.00050, policy loss -0.01922, distill_loss -249.61624, time 551.59383 min
Updates 82560, num timesteps 52839040, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04580, value loss 0.89735, policy loss -0.04775, distill_loss -239.99646, time 551.64619 min
Updates 82570, num timesteps 52845440, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.03709, value loss 0.80848, policy loss 0.00151, distill_loss -243.18655, time 551.69956 min
Updates 82580, num timesteps 52851840, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03124, value loss 0.35863, policy loss 0.00343, distill_loss -244.23691, time 551.75606 min
Updates 82590, num timesteps 52858240, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.04707, value loss 0.52226, policy loss -0.00586, distill_loss -244.92253, time 551.81226 min
Updates 82600, num timesteps 52864640, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.04104, value loss 0.51081, policy loss -0.00406, distill_loss -242.79268, time 551.93970 min
Updates 82610, num timesteps 52871040, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03548, value loss 0.95552, policy loss -0.00445, distill_loss -241.43608, time 552.14388 min
Updates 82620, num timesteps 52877440, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02771, value loss 0.67023, policy loss -0.00750, distill_loss -245.28458, time 552.19974 min
Updates 82630, num timesteps 52883840, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02500, value loss 0.81769, policy loss -0.02692, distill_loss -246.55753, time 552.25244 min
Updates 82640, num timesteps 52890240, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01741, value loss 0.58395, policy loss -0.00306, distill_loss -254.06949, time 552.30864 min
Updates 82650, num timesteps 52896640, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02039, value loss 0.42352, policy loss 0.00374, distill_loss -249.60202, time 552.36610 min
Updates 82660, num timesteps 52903040, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01774, value loss 0.42601, policy loss 0.00223, distill_loss -241.19463, time 552.42138 min
Updates 82670, num timesteps 52909440, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01201, value loss 1.12100, policy loss -0.00315, distill_loss -239.01692, time 552.47333 min
Updates 82680, num timesteps 52915840, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03473, value loss 0.91131, policy loss 0.00494, distill_loss -224.71843, time 552.52919 min
Updates 82690, num timesteps 52922240, FPS 1596, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06845, value loss 0.64559, policy loss 0.02219, distill_loss -230.29927, time 552.58287 min
Updates 82700, num timesteps 52928640, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03203, value loss 0.58234, policy loss 0.00247, distill_loss -243.07690, time 552.75953 min
Updates 82710, num timesteps 52935040, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01847, value loss 0.64153, policy loss 0.00546, distill_loss -244.31023, time 552.95444 min
Updates 82720, num timesteps 52941440, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03120, value loss 0.31174, policy loss 0.00349, distill_loss -240.11482, time 553.00957 min
Updates 82730, num timesteps 52947840, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.02744, value loss 0.78169, policy loss 0.00537, distill_loss -241.90695, time 553.06504 min
Updates 82740, num timesteps 52954240, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.02780, value loss 0.85201, policy loss 0.00185, distill_loss -247.83823, time 553.12091 min
Updates 82750, num timesteps 52960640, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02783, value loss 0.95677, policy loss 0.01012, distill_loss -251.47153, time 553.17200 min
Updates 82760, num timesteps 52967040, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03833, value loss 0.61849, policy loss 0.01263, distill_loss -236.09746, time 553.22606 min
Updates 82770, num timesteps 52973440, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02947, value loss 0.74645, policy loss -0.00916, distill_loss -239.58769, time 553.28077 min
Updates 82780, num timesteps 52979840, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01771, value loss 0.41521, policy loss 0.00070, distill_loss -234.27921, time 553.33879 min
Updates 82790, num timesteps 52986240, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03339, value loss 1.15184, policy loss 0.00789, distill_loss -232.79179, time 553.39239 min
Updates 82800, num timesteps 52992640, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.02083, value loss 0.44664, policy loss 0.01979, distill_loss -238.58562, time 553.54020 min
Updates 82810, num timesteps 52999040, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01183, value loss 0.42887, policy loss 0.00848, distill_loss -250.29358, time 553.74399 min
Updates 82820, num timesteps 53005440, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02127, value loss 0.62870, policy loss -0.00116, distill_loss -242.58096, time 553.79877 min
Updates 82830, num timesteps 53011840, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01181, value loss 0.45310, policy loss -0.00594, distill_loss -254.25644, time 553.85103 min
Updates 82840, num timesteps 53018240, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01282, value loss 0.82815, policy loss 0.00228, distill_loss -248.20183, time 553.90638 min
Updates 82850, num timesteps 53024640, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01589, value loss 0.57338, policy loss -0.00084, distill_loss -243.11667, time 553.99343 min
Updates 82860, num timesteps 53031040, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01822, value loss 1.49114, policy loss -0.00196, distill_loss -226.80774, time 554.04696 min
Updates 82870, num timesteps 53037440, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01752, value loss 0.36444, policy loss -0.00469, distill_loss -234.11296, time 554.10044 min
Updates 82880, num timesteps 53043840, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01850, value loss 0.67344, policy loss -0.00202, distill_loss -237.82283, time 554.15402 min
Updates 82890, num timesteps 53050240, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01129, value loss 0.41107, policy loss 0.00420, distill_loss -231.85489, time 554.20645 min
Updates 82900, num timesteps 53056640, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00686, value loss 0.80769, policy loss -0.00350, distill_loss -249.41110, time 554.34223 min
Updates 82910, num timesteps 53063040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01659, value loss 0.50136, policy loss 0.00133, distill_loss -249.67525, time 554.54819 min
Updates 82920, num timesteps 53069440, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01290, value loss 0.88029, policy loss -0.00346, distill_loss -236.56946, time 554.60283 min
Updates 82930, num timesteps 53075840, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.02047, value loss 0.88328, policy loss -0.00989, distill_loss -236.69284, time 554.65654 min
Updates 82940, num timesteps 53082240, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00528, value loss 0.45757, policy loss -0.00012, distill_loss -242.46284, time 554.70947 min
Updates 82950, num timesteps 53088640, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00306, value loss 0.48100, policy loss 0.00005, distill_loss -246.75322, time 554.76362 min
Updates 82960, num timesteps 53095040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01968, value loss 0.97518, policy loss 0.00221, distill_loss -246.20303, time 554.81817 min
Updates 82970, num timesteps 53101440, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00935, value loss 1.38186, policy loss 0.02066, distill_loss -233.08379, time 554.87310 min
Updates 82980, num timesteps 53107840, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.02418, value loss 0.65930, policy loss 0.00084, distill_loss -240.65056, time 554.92773 min
Updates 82990, num timesteps 53114240, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01431, value loss 1.11296, policy loss 0.00207, distill_loss -241.28398, time 554.98208 min
Updates 83000, num timesteps 53120640, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00626, value loss 0.58269, policy loss -0.03531, distill_loss -247.10068, time 555.03825 min
Updates 83010, num timesteps 53127040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00611, value loss 0.41854, policy loss -0.00022, distill_loss -240.36861, time 555.24556 min
Updates 83020, num timesteps 53133440, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00753, value loss 0.83982, policy loss -0.00012, distill_loss -239.42929, time 555.29549 min
Updates 83030, num timesteps 53139840, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01208, value loss 0.67162, policy loss 0.00492, distill_loss -229.62814, time 555.34608 min
Updates 83040, num timesteps 53146240, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01193, value loss 0.37874, policy loss 0.00253, distill_loss -253.42587, time 555.39814 min
Updates 83050, num timesteps 53152640, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.02608, value loss 0.73801, policy loss 0.00365, distill_loss -239.79390, time 555.45407 min
Updates 83060, num timesteps 53159040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01448, value loss 0.82083, policy loss 0.00846, distill_loss -237.34656, time 555.50646 min
Updates 83070, num timesteps 53165440, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00470, value loss 0.36487, policy loss 0.00193, distill_loss -242.91862, time 555.56245 min
Updates 83080, num timesteps 53171840, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01274, value loss 0.83074, policy loss 0.00013, distill_loss -252.99434, time 555.61533 min
Updates 83090, num timesteps 53178240, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01427, value loss 0.50206, policy loss -0.00486, distill_loss -247.24516, time 555.67033 min
Updates 83100, num timesteps 53184640, FPS 1595, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01352, value loss 0.45243, policy loss 0.00628, distill_loss -247.06985, time 555.73611 min
Updates 83110, num timesteps 53191040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02470, value loss 0.82005, policy loss 0.00091, distill_loss -242.45773, time 555.94680 min
Updates 83120, num timesteps 53197440, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02037, value loss 0.86461, policy loss -0.00291, distill_loss -248.56400, time 555.99921 min
Updates 83130, num timesteps 53203840, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03045, value loss 0.61238, policy loss 0.00152, distill_loss -247.93405, time 556.05279 min
Updates 83140, num timesteps 53210240, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01192, value loss 0.55378, policy loss 0.00029, distill_loss -230.73630, time 556.10644 min
Updates 83150, num timesteps 53216640, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02088, value loss 0.62795, policy loss 0.00207, distill_loss -240.56003, time 556.15783 min
Updates 83160, num timesteps 53223040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01447, value loss 0.60711, policy loss -0.00100, distill_loss -247.31006, time 556.20751 min
Updates 83170, num timesteps 53229440, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01330, value loss 0.93770, policy loss 0.00001, distill_loss -232.52933, time 556.26106 min
Updates 83180, num timesteps 53235840, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01007, value loss 0.62377, policy loss 0.00271, distill_loss -248.75313, time 556.31444 min
Updates 83190, num timesteps 53242240, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.00909, value loss 1.33223, policy loss -0.00238, distill_loss -246.65500, time 556.36691 min
Updates 83200, num timesteps 53248640, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01690, value loss 1.04965, policy loss -0.00089, distill_loss -229.51108, time 556.42923 min
Updates 83210, num timesteps 53255040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01230, value loss 0.86348, policy loss -0.00153, distill_loss -248.34689, time 556.63693 min
Updates 83220, num timesteps 53261440, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01611, value loss 1.19035, policy loss -0.00266, distill_loss -234.29366, time 556.68822 min
Updates 83230, num timesteps 53267840, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01973, value loss 0.69206, policy loss 0.00268, distill_loss -240.01761, time 556.74078 min
Updates 83240, num timesteps 53274240, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03707, value loss 0.72903, policy loss 0.00303, distill_loss -236.52267, time 556.79684 min
Updates 83250, num timesteps 53280640, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03958, value loss 0.87091, policy loss -0.01140, distill_loss -233.71321, time 556.84956 min
Updates 83260, num timesteps 53287040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02421, value loss 0.89389, policy loss -0.01257, distill_loss -243.68233, time 556.90276 min
Updates 83270, num timesteps 53293440, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.02988, value loss 0.60430, policy loss 0.00316, distill_loss -239.75359, time 556.95597 min
Updates 83280, num timesteps 53299840, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01610, value loss 1.21010, policy loss 0.00124, distill_loss -243.44072, time 557.01045 min
Updates 83290, num timesteps 53306240, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02235, value loss 1.02748, policy loss -0.00463, distill_loss -249.76855, time 557.06580 min
Updates 83300, num timesteps 53312640, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01481, value loss 0.74626, policy loss -0.00102, distill_loss -242.54190, time 557.12395 min
Updates 83310, num timesteps 53319040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.03912, value loss 0.85687, policy loss -0.00635, distill_loss -247.56058, time 557.33234 min
Updates 83320, num timesteps 53325440, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.03744, value loss 0.65498, policy loss 0.02226, distill_loss -246.72144, time 557.38604 min
Updates 83330, num timesteps 53331840, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03940, value loss 0.94020, policy loss 0.00765, distill_loss -251.11182, time 557.43936 min
Updates 83340, num timesteps 53338240, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02430, value loss 0.59757, policy loss -0.00680, distill_loss -255.65256, time 557.48995 min
Updates 83350, num timesteps 53344640, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.02980, value loss 1.95530, policy loss -0.02121, distill_loss -249.47929, time 557.54320 min
Updates 83360, num timesteps 53351040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.03283, value loss 0.51974, policy loss 0.00622, distill_loss -243.35139, time 557.59769 min
Updates 83370, num timesteps 53357440, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00961, value loss 1.10241, policy loss 0.00327, distill_loss -256.36761, time 557.65086 min
Updates 83380, num timesteps 53363840, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01806, value loss 0.58158, policy loss -0.00007, distill_loss -256.42892, time 557.70392 min
Updates 83390, num timesteps 53370240, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03607, value loss 1.19891, policy loss 0.02679, distill_loss -250.44681, time 557.75621 min
Updates 83400, num timesteps 53376640, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01500, value loss 0.39767, policy loss 0.00053, distill_loss -239.82585, time 557.80930 min
Updates 83410, num timesteps 53383040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00987, value loss 0.59371, policy loss 0.00180, distill_loss -250.80966, time 558.00852 min
Updates 83420, num timesteps 53389440, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02587, value loss 0.69721, policy loss 0.00190, distill_loss -265.25409, time 558.06047 min
Updates 83430, num timesteps 53395840, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01795, value loss 0.72146, policy loss -0.01457, distill_loss -256.06647, time 558.11449 min
Updates 83440, num timesteps 53402240, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01307, value loss 0.65943, policy loss 0.00223, distill_loss -239.59506, time 558.16571 min
Updates 83450, num timesteps 53408640, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00807, value loss 1.01443, policy loss 0.00085, distill_loss -240.35507, time 558.22130 min
Updates 83460, num timesteps 53415040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00518, value loss 0.43556, policy loss -0.00029, distill_loss -242.68591, time 558.27277 min
Updates 83470, num timesteps 53421440, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00905, value loss 0.79970, policy loss -0.00082, distill_loss -241.62105, time 558.32227 min
Updates 83480, num timesteps 53427840, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01174, value loss 2.24374, policy loss 0.00917, distill_loss -247.18384, time 558.37466 min
Updates 83490, num timesteps 53434240, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01266, value loss 0.95397, policy loss 0.00191, distill_loss -248.81052, time 558.42669 min
Updates 83500, num timesteps 53440640, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01853, value loss 1.10876, policy loss 0.00713, distill_loss -257.37296, time 558.48547 min
Updates 83510, num timesteps 53447040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.02334, value loss 0.61507, policy loss 0.00655, distill_loss -241.89677, time 558.68985 min
Updates 83520, num timesteps 53453440, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.03490, value loss 0.63901, policy loss 0.01773, distill_loss -259.07599, time 558.74021 min
Updates 83530, num timesteps 53459840, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01651, value loss 0.79163, policy loss -0.00207, distill_loss -249.99780, time 558.79522 min
Updates 83540, num timesteps 53466240, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.00338, value loss 0.59457, policy loss -0.01308, distill_loss -243.06604, time 558.85771 min
Updates 83550, num timesteps 53472640, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01855, value loss 0.97092, policy loss -0.00606, distill_loss -249.48332, time 558.90602 min
Updates 83560, num timesteps 53479040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01754, value loss 0.73911, policy loss -0.00979, distill_loss -254.08438, time 558.95943 min
Updates 83570, num timesteps 53485440, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01466, value loss 0.57566, policy loss 0.00078, distill_loss -254.32137, time 559.01238 min
Updates 83580, num timesteps 53491840, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01761, value loss 1.17818, policy loss 0.00593, distill_loss -246.30203, time 559.06458 min
Updates 83590, num timesteps 53498240, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03096, value loss 0.73692, policy loss 0.00614, distill_loss -263.32761, time 559.12074 min
Updates 83600, num timesteps 53504640, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02024, value loss 0.98675, policy loss 0.00349, distill_loss -230.43782, time 559.17957 min
Updates 83610, num timesteps 53511040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02074, value loss 0.66245, policy loss -0.00120, distill_loss -259.38345, time 559.38270 min
Updates 83620, num timesteps 53517440, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01271, value loss 0.53361, policy loss 0.00229, distill_loss -237.80649, time 559.43945 min
Updates 83630, num timesteps 53523840, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01471, value loss 0.58664, policy loss 0.00208, distill_loss -249.78825, time 559.49190 min
Updates 83640, num timesteps 53530240, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.01573, value loss 1.13437, policy loss 0.00716, distill_loss -254.16573, time 559.54454 min
Updates 83650, num timesteps 53536640, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.02904, value loss 0.77379, policy loss 0.00051, distill_loss -247.09045, time 559.59736 min
Updates 83660, num timesteps 53543040, FPS 1594, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.01037, value loss 0.67211, policy loss 0.00396, distill_loss -247.70625, time 559.65054 min
