command line args: main.py --env-name MsPacmanNoFrameskip-v0 --algo a2c --num-stack 4 --train-on-200x160-pixel --port 5026 --log-dir /tmp/a2c_mspacman --num-processes 128
Updates 0, num timesteps 640, FPS 398, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.18486, value loss 0.01736, policy loss 0.21304, time 0.02680 min
Updates 60770, num timesteps 38893440, FPS 272, mean/median reward 34.3/15.0, min/max reward 0.0/148.0, entropy 1.86113, value loss 0.14488, policy loss 0.03440, time 2379.66187 min
Updates 60780, num timesteps 38899840, FPS 272, mean/median reward 34.7/15.0, min/max reward 0.0/148.0, entropy 1.87375, value loss 0.02228, policy loss 0.01414, time 2379.96079 min
Updates 60790, num timesteps 38906240, FPS 272, mean/median reward 36.0/15.0, min/max reward 0.0/148.0, entropy 1.88332, value loss 0.02965, policy loss -0.00446, time 2380.25269 min
Updates 60800, num timesteps 38912640, FPS 272, mean/median reward 37.3/17.0, min/max reward 0.0/148.0, entropy 1.80524, value loss 0.03227, policy loss -0.01123, time 2380.55110 min
Updates 60810, num timesteps 38919040, FPS 272, mean/median reward 37.5/18.0, min/max reward 0.0/148.0, entropy 1.84498, value loss 0.14797, policy loss 0.01343, time 2380.86305 min
Updates 60820, num timesteps 38925440, FPS 272, mean/median reward 36.6/17.0, min/max reward 0.0/148.0, entropy 1.83641, value loss 0.03532, policy loss -0.01974, time 2381.15786 min
Updates 60830, num timesteps 38931840, FPS 272, mean/median reward 36.0/15.0, min/max reward 0.0/148.0, entropy 1.84573, value loss 0.03353, policy loss -0.00550, time 2381.45696 min
Updates 60840, num timesteps 38938240, FPS 272, mean/median reward 36.0/15.0, min/max reward 0.0/148.0, entropy 1.81601, value loss 0.03616, policy loss -0.04447, time 2381.75690 min
Updates 60850, num timesteps 38944640, FPS 272, mean/median reward 37.2/15.0, min/max reward 0.0/146.0, entropy 1.86934, value loss 0.07718, policy loss -0.00893, time 2382.05061 min
Updates 60860, num timesteps 38951040, FPS 272, mean/median reward 36.2/14.0, min/max reward 0.0/146.0, entropy 1.83731, value loss 0.05517, policy loss -0.01542, time 2382.34520 min
Updates 60870, num timesteps 38957440, FPS 272, mean/median reward 35.1/14.0, min/max reward 0.0/146.0, entropy 1.83696, value loss 0.03917, policy loss -0.01409, time 2382.63557 min
Updates 60880, num timesteps 38963840, FPS 272, mean/median reward 36.0/14.0, min/max reward 0.0/146.0, entropy 1.87857, value loss 0.08826, policy loss 0.07231, time 2382.94012 min
Updates 60890, num timesteps 38970240, FPS 272, mean/median reward 36.7/15.0, min/max reward 0.0/146.0, entropy 1.78715, value loss 0.05010, policy loss 0.02903, time 2383.22908 min
Updates 60900, num timesteps 38976640, FPS 272, mean/median reward 35.9/14.0, min/max reward 0.0/146.0, entropy 1.79480, value loss 0.07111, policy loss 0.00010, time 2383.53332 min
Updates 60910, num timesteps 38983040, FPS 272, mean/median reward 36.2/14.0, min/max reward 0.0/146.0, entropy 1.75893, value loss 0.15597, policy loss 0.02823, time 2383.84718 min
Updates 60920, num timesteps 38989440, FPS 272, mean/median reward 38.4/18.0, min/max reward 0.0/146.0, entropy 1.82863, value loss 0.03333, policy loss -0.02798, time 2384.14991 min
Updates 60930, num timesteps 38995840, FPS 272, mean/median reward 37.7/18.0, min/max reward 0.0/146.0, entropy 1.85537, value loss 0.10131, policy loss -0.03749, time 2384.44348 min
Updates 60940, num timesteps 39002240, FPS 272, mean/median reward 37.9/19.0, min/max reward 0.0/141.0, entropy 1.90717, value loss 0.05680, policy loss 0.03364, time 2384.73521 min
Updates 60950, num timesteps 39008640, FPS 272, mean/median reward 36.6/18.0, min/max reward 0.0/141.0, entropy 1.88227, value loss 0.07005, policy loss 0.00263, time 2385.03177 min
Updates 60960, num timesteps 39015040, FPS 272, mean/median reward 36.7/18.0, min/max reward 0.0/141.0, entropy 1.86861, value loss 0.04551, policy loss 0.00068, time 2385.32043 min
Updates 60970, num timesteps 39021440, FPS 272, mean/median reward 36.2/18.0, min/max reward 0.0/141.0, entropy 1.90964, value loss 0.04409, policy loss 0.00225, time 2385.61205 min
Updates 60980, num timesteps 39027840, FPS 272, mean/median reward 35.9/18.0, min/max reward 0.0/141.0, entropy 1.86986, value loss 0.15345, policy loss 0.05102, time 2385.89961 min
Updates 60990, num timesteps 39034240, FPS 272, mean/median reward 35.8/16.0, min/max reward 0.0/141.0, entropy 1.84824, value loss 0.16312, policy loss 0.06762, time 2386.19849 min
Updates 61000, num timesteps 39040640, FPS 272, mean/median reward 36.2/16.0, min/max reward 0.0/151.0, entropy 1.78896, value loss 0.04161, policy loss -0.03314, time 2386.49667 min
Updates 61010, num timesteps 39047040, FPS 272, mean/median reward 35.3/14.0, min/max reward 0.0/151.0, entropy 1.86848, value loss 0.05169, policy loss 0.03012, time 2386.81108 min
Updates 61020, num timesteps 39053440, FPS 272, mean/median reward 37.1/15.0, min/max reward 0.0/151.0, entropy 1.88429, value loss 0.03195, policy loss -0.02653, time 2387.10317 min
Updates 61030, num timesteps 39059840, FPS 272, mean/median reward 37.0/16.0, min/max reward 0.0/151.0, entropy 1.88360, value loss 0.04462, policy loss 0.06146, time 2387.39741 min
Updates 61040, num timesteps 39066240, FPS 272, mean/median reward 37.4/16.0, min/max reward 0.0/151.0, entropy 1.84451, value loss 0.13203, policy loss 0.02379, time 2387.68944 min
Updates 61050, num timesteps 39072640, FPS 272, mean/median reward 36.5/16.0, min/max reward 0.0/148.0, entropy 1.91919, value loss 0.09417, policy loss 0.03206, time 2387.98641 min
Updates 61060, num timesteps 39079040, FPS 272, mean/median reward 38.5/20.0, min/max reward 0.0/148.0, entropy 1.85395, value loss 0.20637, policy loss 0.05067, time 2388.27643 min
Updates 61070, num timesteps 39085440, FPS 272, mean/median reward 38.8/19.0, min/max reward 0.0/148.0, entropy 1.88402, value loss 0.06366, policy loss 0.03320, time 2388.58734 min
Updates 61080, num timesteps 39091840, FPS 272, mean/median reward 38.5/18.0, min/max reward 0.0/148.0, entropy 1.83247, value loss 0.04154, policy loss 0.01359, time 2388.88359 min
Updates 61090, num timesteps 39098240, FPS 272, mean/median reward 37.2/16.0, min/max reward 0.0/148.0, entropy 1.78509, value loss 0.02649, policy loss -0.05097, time 2389.18840 min
Updates 61100, num timesteps 39104640, FPS 272, mean/median reward 38.3/16.0, min/max reward 0.0/148.0, entropy 1.84120, value loss 0.04153, policy loss -0.03539, time 2389.48037 min
Updates 61110, num timesteps 39111040, FPS 272, mean/median reward 38.6/16.0, min/max reward 0.0/148.0, entropy 1.87634, value loss 0.03852, policy loss -0.01392, time 2389.79201 min
Updates 61120, num timesteps 39117440, FPS 272, mean/median reward 35.6/15.0, min/max reward 0.0/140.0, entropy 1.85582, value loss 0.05988, policy loss -0.04423, time 2390.08260 min
Updates 61130, num timesteps 39123840, FPS 272, mean/median reward 36.1/16.0, min/max reward 0.0/146.0, entropy 1.85565, value loss 0.04106, policy loss 0.02084, time 2390.37649 min
Updates 61140, num timesteps 39130240, FPS 272, mean/median reward 34.7/16.0, min/max reward 0.0/146.0, entropy 1.86596, value loss 0.05984, policy loss -0.02693, time 2390.66319 min
Updates 61150, num timesteps 39136640, FPS 272, mean/median reward 34.3/15.0, min/max reward 0.0/146.0, entropy 1.81391, value loss 0.04698, policy loss -0.00064, time 2390.95821 min
Updates 61160, num timesteps 39143040, FPS 272, mean/median reward 32.6/15.0, min/max reward 0.0/146.0, entropy 1.77411, value loss 0.23755, policy loss 0.08907, time 2391.25788 min
Updates 61170, num timesteps 39149440, FPS 272, mean/median reward 35.4/15.0, min/max reward 0.0/146.0, entropy 1.84765, value loss 0.02924, policy loss -0.02757, time 2391.55345 min
Updates 61180, num timesteps 39155840, FPS 272, mean/median reward 33.8/15.0, min/max reward 0.0/146.0, entropy 1.87038, value loss 0.09230, policy loss 0.03633, time 2391.84695 min
Updates 61190, num timesteps 39162240, FPS 272, mean/median reward 34.5/15.0, min/max reward 0.0/146.0, entropy 1.82497, value loss 0.16639, policy loss 0.04206, time 2392.13486 min
Updates 61200, num timesteps 39168640, FPS 272, mean/median reward 35.7/15.0, min/max reward 0.0/146.0, entropy 1.84858, value loss 0.03876, policy loss -0.00479, time 2392.42867 min
Updates 61210, num timesteps 39175040, FPS 272, mean/median reward 35.3/15.0, min/max reward 0.0/146.0, entropy 1.84487, value loss 0.12573, policy loss 0.05755, time 2392.74429 min
Updates 61220, num timesteps 39181440, FPS 272, mean/median reward 35.8/16.0, min/max reward 0.0/146.0, entropy 1.80735, value loss 0.04208, policy loss -0.04036, time 2393.04603 min
Updates 61230, num timesteps 39187840, FPS 272, mean/median reward 33.4/15.0, min/max reward 0.0/146.0, entropy 1.89723, value loss 0.04431, policy loss 0.04647, time 2393.33772 min
Updates 61240, num timesteps 39194240, FPS 272, mean/median reward 34.7/16.0, min/max reward 0.0/146.0, entropy 1.90139, value loss 0.04806, policy loss -0.00506, time 2393.63795 min
Updates 61250, num timesteps 39200640, FPS 272, mean/median reward 35.7/16.0, min/max reward 0.0/146.0, entropy 1.88015, value loss 0.03482, policy loss -0.00805, time 2393.93309 min
Updates 61260, num timesteps 39207040, FPS 272, mean/median reward 35.6/16.0, min/max reward 0.0/146.0, entropy 1.84719, value loss 0.03801, policy loss -0.05010, time 2394.23031 min
Updates 61270, num timesteps 39213440, FPS 272, mean/median reward 35.4/16.0, min/max reward 0.0/139.0, entropy 1.94118, value loss 0.05193, policy loss 0.00512, time 2394.52435 min
Updates 61280, num timesteps 39219840, FPS 272, mean/median reward 35.6/16.0, min/max reward 0.0/139.0, entropy 1.87129, value loss 0.03711, policy loss -0.01021, time 2394.83589 min
Updates 61290, num timesteps 39226240, FPS 272, mean/median reward 36.0/16.0, min/max reward 0.0/139.0, entropy 1.79777, value loss 0.15884, policy loss 0.04530, time 2395.14003 min
Updates 61300, num timesteps 39232640, FPS 272, mean/median reward 39.2/19.0, min/max reward 0.0/144.0, entropy 1.79344, value loss 0.02719, policy loss -0.01117, time 2395.44739 min
Updates 61310, num timesteps 39239040, FPS 272, mean/median reward 38.5/16.0, min/max reward 0.0/144.0, entropy 1.88324, value loss 0.03206, policy loss -0.01147, time 2395.76236 min
Updates 61320, num timesteps 39245440, FPS 272, mean/median reward 38.9/16.0, min/max reward 0.0/144.0, entropy 1.82579, value loss 0.03671, policy loss -0.00933, time 2396.06056 min
Updates 61330, num timesteps 39251840, FPS 272, mean/median reward 38.0/15.0, min/max reward 0.0/144.0, entropy 1.87936, value loss 0.11752, policy loss 0.04833, time 2396.35922 min
Updates 61340, num timesteps 39258240, FPS 273, mean/median reward 37.9/15.0, min/max reward 0.0/147.0, entropy 1.84797, value loss 0.19827, policy loss 0.05194, time 2396.65337 min
Updates 61350, num timesteps 39264640, FPS 273, mean/median reward 38.2/16.0, min/max reward 0.0/147.0, entropy 1.85602, value loss 0.04082, policy loss -0.00243, time 2396.94796 min
Updates 61360, num timesteps 39271040, FPS 273, mean/median reward 39.6/16.0, min/max reward 0.0/147.0, entropy 1.80377, value loss 0.05468, policy loss -0.01026, time 2397.24402 min
Updates 61370, num timesteps 39277440, FPS 273, mean/median reward 40.0/16.0, min/max reward 0.0/147.0, entropy 1.81888, value loss 0.07465, policy loss 0.05463, time 2397.53994 min
Updates 61380, num timesteps 39283840, FPS 273, mean/median reward 36.6/15.0, min/max reward 0.0/147.0, entropy 1.84934, value loss 0.07391, policy loss -0.00749, time 2397.83201 min
Updates 61390, num timesteps 39290240, FPS 273, mean/median reward 36.1/15.0, min/max reward 0.0/147.0, entropy 1.84924, value loss 0.09868, policy loss -0.03581, time 2398.13026 min
Updates 61400, num timesteps 39296640, FPS 273, mean/median reward 35.0/15.0, min/max reward 0.0/147.0, entropy 1.80866, value loss 0.02561, policy loss -0.00367, time 2398.44043 min
Updates 61410, num timesteps 39303040, FPS 273, mean/median reward 33.9/15.0, min/max reward 0.0/147.0, entropy 1.79840, value loss 0.03803, policy loss 0.02415, time 2398.75946 min
Updates 61420, num timesteps 39309440, FPS 273, mean/median reward 33.5/14.0, min/max reward 0.0/147.0, entropy 1.85111, value loss 0.04607, policy loss -0.01097, time 2399.04924 min
Updates 61430, num timesteps 39315840, FPS 273, mean/median reward 36.6/15.0, min/max reward 0.0/147.0, entropy 1.84564, value loss 0.08194, policy loss -0.02149, time 2399.33942 min
Updates 61440, num timesteps 39322240, FPS 273, mean/median reward 37.3/16.0, min/max reward 0.0/147.0, entropy 1.84547, value loss 0.15935, policy loss 0.01244, time 2399.63398 min
Updates 61450, num timesteps 39328640, FPS 273, mean/median reward 33.9/15.0, min/max reward 0.0/147.0, entropy 1.84115, value loss 0.02841, policy loss -0.01483, time 2399.93704 min
Updates 61460, num timesteps 39335040, FPS 273, mean/median reward 34.4/15.0, min/max reward 0.0/147.0, entropy 1.82898, value loss 0.04031, policy loss -0.00438, time 2400.23601 min
Updates 61470, num timesteps 39341440, FPS 273, mean/median reward 32.9/14.0, min/max reward 0.0/144.0, entropy 1.84048, value loss 0.03258, policy loss -0.03346, time 2400.52628 min
Updates 61480, num timesteps 39347840, FPS 273, mean/median reward 34.2/14.0, min/max reward 0.0/144.0, entropy 1.82693, value loss 0.05661, policy loss -0.05275, time 2400.81975 min
Updates 61490, num timesteps 39354240, FPS 273, mean/median reward 35.8/16.0, min/max reward 0.0/144.0, entropy 1.83185, value loss 0.05246, policy loss -0.00244, time 2401.12115 min
Updates 61500, num timesteps 39360640, FPS 273, mean/median reward 36.1/16.0, min/max reward 0.0/144.0, entropy 1.79247, value loss 0.03189, policy loss 0.01477, time 2401.42159 min
Updates 61510, num timesteps 39367040, FPS 273, mean/median reward 35.8/15.0, min/max reward 0.0/144.0, entropy 1.80562, value loss 0.05479, policy loss 0.05111, time 2401.73334 min
Updates 61520, num timesteps 39373440, FPS 273, mean/median reward 34.8/15.0, min/max reward 0.0/144.0, entropy 1.85453, value loss 0.04180, policy loss 0.03028, time 2402.03022 min
Updates 61530, num timesteps 39379840, FPS 273, mean/median reward 35.1/14.0, min/max reward 0.0/144.0, entropy 1.82298, value loss 0.08144, policy loss -0.00267, time 2402.32517 min
Updates 61540, num timesteps 39386240, FPS 273, mean/median reward 34.9/14.0, min/max reward 0.0/144.0, entropy 1.86254, value loss 0.06145, policy loss -0.04109, time 2402.62374 min
Updates 61550, num timesteps 39392640, FPS 273, mean/median reward 32.7/14.0, min/max reward 0.0/144.0, entropy 1.86425, value loss 0.10786, policy loss -0.01069, time 2402.92002 min
Updates 61560, num timesteps 39399040, FPS 273, mean/median reward 32.4/13.0, min/max reward 0.0/144.0, entropy 1.84852, value loss 0.03850, policy loss 0.02422, time 2403.21354 min
Updates 61570, num timesteps 39405440, FPS 273, mean/median reward 31.3/13.0, min/max reward 0.0/139.0, entropy 1.85381, value loss 0.05270, policy loss 0.02156, time 2403.51081 min
Updates 61580, num timesteps 39411840, FPS 273, mean/median reward 29.3/12.0, min/max reward 0.0/132.0, entropy 1.80092, value loss 0.06354, policy loss 0.00139, time 2403.79606 min
Updates 61590, num timesteps 39418240, FPS 273, mean/median reward 29.4/12.0, min/max reward 0.0/132.0, entropy 1.85776, value loss 0.13887, policy loss 0.01780, time 2404.08753 min
Updates 61600, num timesteps 39424640, FPS 273, mean/median reward 29.9/12.0, min/max reward 0.0/132.0, entropy 1.84454, value loss 0.05988, policy loss -0.05464, time 2404.38296 min
Updates 61610, num timesteps 39431040, FPS 273, mean/median reward 30.7/13.0, min/max reward 0.0/132.0, entropy 1.84013, value loss 0.26384, policy loss 0.09889, time 2404.69856 min
Updates 61620, num timesteps 39437440, FPS 273, mean/median reward 32.4/14.0, min/max reward 0.0/137.0, entropy 1.80902, value loss 0.05219, policy loss -0.06658, time 2404.98946 min
Updates 61630, num timesteps 39443840, FPS 273, mean/median reward 31.5/13.0, min/max reward 0.0/137.0, entropy 1.83135, value loss 0.27060, policy loss 0.11390, time 2405.28642 min
Updates 61640, num timesteps 39450240, FPS 273, mean/median reward 31.0/13.0, min/max reward 0.0/137.0, entropy 1.86101, value loss 0.06050, policy loss 0.03992, time 2405.58174 min
Updates 61650, num timesteps 39456640, FPS 273, mean/median reward 32.6/14.0, min/max reward 0.0/137.0, entropy 1.89384, value loss 0.16172, policy loss 0.06545, time 2405.88160 min
Updates 61660, num timesteps 39463040, FPS 273, mean/median reward 31.1/13.0, min/max reward 0.0/137.0, entropy 1.81612, value loss 0.10464, policy loss -0.02723, time 2406.17284 min
Updates 61670, num timesteps 39469440, FPS 273, mean/median reward 31.5/13.0, min/max reward 0.0/137.0, entropy 1.78318, value loss 0.04777, policy loss -0.02080, time 2406.46572 min
Updates 61680, num timesteps 39475840, FPS 273, mean/median reward 31.2/13.0, min/max reward 0.0/140.0, entropy 1.84249, value loss 0.05384, policy loss -0.03687, time 2406.76865 min
Updates 61690, num timesteps 39482240, FPS 273, mean/median reward 31.7/14.0, min/max reward 0.0/140.0, entropy 1.84233, value loss 0.07412, policy loss -0.07260, time 2407.06741 min
Updates 61700, num timesteps 39488640, FPS 273, mean/median reward 32.4/14.0, min/max reward 0.0/140.0, entropy 1.84274, value loss 0.25401, policy loss 0.06123, time 2407.38828 min
Updates 61710, num timesteps 39495040, FPS 273, mean/median reward 33.0/14.0, min/max reward 0.0/155.0, entropy 1.86424, value loss 0.03967, policy loss 0.00284, time 2407.70308 min
Updates 61720, num timesteps 39501440, FPS 273, mean/median reward 32.9/14.0, min/max reward 0.0/155.0, entropy 1.83742, value loss 0.03086, policy loss -0.02959, time 2408.00106 min
Updates 61730, num timesteps 39507840, FPS 273, mean/median reward 34.1/14.0, min/max reward 0.0/155.0, entropy 1.86927, value loss 0.31194, policy loss 0.09952, time 2408.31150 min
Updates 61740, num timesteps 39514240, FPS 273, mean/median reward 34.2/13.0, min/max reward 0.0/155.0, entropy 1.83838, value loss 0.06891, policy loss 0.03011, time 2408.60648 min
Updates 61750, num timesteps 39520640, FPS 273, mean/median reward 36.2/13.0, min/max reward 0.0/155.0, entropy 1.85354, value loss 0.20840, policy loss 0.03562, time 2408.90269 min
Updates 61760, num timesteps 39527040, FPS 273, mean/median reward 36.5/14.0, min/max reward 0.0/155.0, entropy 1.86417, value loss 0.04125, policy loss -0.02267, time 2409.20542 min
Updates 61770, num timesteps 39533440, FPS 273, mean/median reward 37.0/14.0, min/max reward 0.0/155.0, entropy 1.89375, value loss 0.03256, policy loss -0.00957, time 2409.50165 min
Updates 61780, num timesteps 39539840, FPS 273, mean/median reward 39.5/14.0, min/max reward 0.0/155.0, entropy 1.86485, value loss 0.16942, policy loss 0.06798, time 2409.79881 min
Updates 61790, num timesteps 39546240, FPS 273, mean/median reward 37.0/14.0, min/max reward 0.0/155.0, entropy 1.86485, value loss 0.11498, policy loss -0.01943, time 2410.09368 min
Updates 61800, num timesteps 39552640, FPS 273, mean/median reward 36.9/13.0, min/max reward 0.0/155.0, entropy 1.85740, value loss 0.02650, policy loss 0.01211, time 2410.42853 min
Updates 61810, num timesteps 39559040, FPS 273, mean/median reward 36.9/13.0, min/max reward 0.0/155.0, entropy 1.87625, value loss 0.03564, policy loss 0.00145, time 2410.74495 min
Updates 61820, num timesteps 39565440, FPS 273, mean/median reward 33.1/12.0, min/max reward 0.0/155.0, entropy 1.86349, value loss 0.03907, policy loss 0.00335, time 2411.03714 min
Updates 61830, num timesteps 39571840, FPS 273, mean/median reward 34.0/12.0, min/max reward 0.0/155.0, entropy 1.82925, value loss 0.18834, policy loss 0.06248, time 2411.33111 min
Updates 61840, num timesteps 39578240, FPS 273, mean/median reward 34.6/13.0, min/max reward 0.0/155.0, entropy 1.89093, value loss 0.07065, policy loss -0.11010, time 2411.62617 min
Updates 61850, num timesteps 39584640, FPS 273, mean/median reward 34.5/13.0, min/max reward 0.0/137.0, entropy 1.85350, value loss 0.04407, policy loss -0.00206, time 2411.92694 min
Updates 61860, num timesteps 39591040, FPS 273, mean/median reward 34.7/11.0, min/max reward 0.0/137.0, entropy 1.83732, value loss 0.04259, policy loss -0.02873, time 2412.22311 min
Updates 61870, num timesteps 39597440, FPS 273, mean/median reward 31.6/10.0, min/max reward 0.0/137.0, entropy 1.87080, value loss 0.04533, policy loss -0.00520, time 2412.51654 min
Updates 61880, num timesteps 39603840, FPS 273, mean/median reward 31.3/10.0, min/max reward 0.0/137.0, entropy 1.84166, value loss 0.05334, policy loss -0.05299, time 2412.81199 min
Updates 61890, num timesteps 39610240, FPS 273, mean/median reward 31.2/10.0, min/max reward 0.0/137.0, entropy 1.92368, value loss 0.15858, policy loss 0.05612, time 2413.11226 min
Updates 61900, num timesteps 39616640, FPS 273, mean/median reward 32.6/10.0, min/max reward 0.0/155.0, entropy 1.86252, value loss 0.03125, policy loss 0.00063, time 2413.41311 min
Updates 61910, num timesteps 39623040, FPS 273, mean/median reward 32.5/10.0, min/max reward 0.0/155.0, entropy 1.83536, value loss 0.24677, policy loss 0.01924, time 2413.72779 min
Updates 61920, num timesteps 39629440, FPS 273, mean/median reward 33.4/10.0, min/max reward 0.0/155.0, entropy 1.85580, value loss 0.03738, policy loss 0.00166, time 2414.02769 min
Updates 61930, num timesteps 39635840, FPS 273, mean/median reward 34.2/11.0, min/max reward 0.0/155.0, entropy 1.86174, value loss 0.06792, policy loss -0.04846, time 2414.32241 min
Updates 61940, num timesteps 39642240, FPS 273, mean/median reward 33.2/11.0, min/max reward 0.0/155.0, entropy 1.84608, value loss 0.06639, policy loss -0.02242, time 2414.61762 min
Updates 61950, num timesteps 39648640, FPS 273, mean/median reward 33.4/10.0, min/max reward 0.0/155.0, entropy 1.86670, value loss 0.06453, policy loss -0.00809, time 2414.91377 min
Updates 61960, num timesteps 39655040, FPS 273, mean/median reward 34.7/11.0, min/max reward 0.0/155.0, entropy 1.86308, value loss 0.08894, policy loss 0.01203, time 2415.20656 min
Updates 61970, num timesteps 39661440, FPS 273, mean/median reward 37.1/13.0, min/max reward 0.0/155.0, entropy 1.88282, value loss 0.03194, policy loss -0.02152, time 2415.50587 min
Updates 61980, num timesteps 39667840, FPS 273, mean/median reward 37.1/13.0, min/max reward 0.0/155.0, entropy 1.89631, value loss 0.03435, policy loss -0.03151, time 2415.79953 min
Updates 61990, num timesteps 39674240, FPS 273, mean/median reward 37.5/13.0, min/max reward 0.0/155.0, entropy 1.84708, value loss 0.03333, policy loss 0.04853, time 2416.10048 min
Updates 62000, num timesteps 39680640, FPS 273, mean/median reward 36.3/12.0, min/max reward 0.0/155.0, entropy 1.92494, value loss 0.06823, policy loss -0.00588, time 2416.39945 min
Updates 62010, num timesteps 39687040, FPS 273, mean/median reward 37.1/13.0, min/max reward 0.0/155.0, entropy 1.87872, value loss 0.04537, policy loss 0.00449, time 2416.71442 min
Updates 62020, num timesteps 39693440, FPS 273, mean/median reward 36.5/13.0, min/max reward 0.0/155.0, entropy 1.78817, value loss 0.03435, policy loss -0.04357, time 2417.00969 min
Updates 62030, num timesteps 39699840, FPS 273, mean/median reward 35.9/13.0, min/max reward 0.0/155.0, entropy 1.82239, value loss 0.04015, policy loss 0.02381, time 2417.30269 min
Updates 62040, num timesteps 39706240, FPS 273, mean/median reward 36.5/13.0, min/max reward 0.0/155.0, entropy 1.84669, value loss 0.08954, policy loss 0.05701, time 2417.59431 min
Updates 62050, num timesteps 39712640, FPS 273, mean/median reward 35.7/13.0, min/max reward 0.0/155.0, entropy 1.83806, value loss 0.04277, policy loss -0.04616, time 2417.88702 min
Updates 62060, num timesteps 39719040, FPS 273, mean/median reward 34.4/14.0, min/max reward 0.0/155.0, entropy 1.79552, value loss 0.02777, policy loss -0.03420, time 2418.18627 min
Updates 62070, num timesteps 39725440, FPS 273, mean/median reward 34.1/14.0, min/max reward 0.0/155.0, entropy 1.86867, value loss 0.05630, policy loss -0.02210, time 2418.47787 min
Updates 62080, num timesteps 39731840, FPS 273, mean/median reward 36.1/15.0, min/max reward 0.0/155.0, entropy 1.84992, value loss 0.06863, policy loss -0.04506, time 2418.76656 min
Updates 62090, num timesteps 39738240, FPS 273, mean/median reward 38.4/16.0, min/max reward 0.0/155.0, entropy 1.88008, value loss 0.02764, policy loss -0.02087, time 2419.07716 min
Updates 62100, num timesteps 39744640, FPS 273, mean/median reward 37.4/16.0, min/max reward 0.0/155.0, entropy 1.86721, value loss 0.03247, policy loss -0.01692, time 2419.38785 min
Updates 62110, num timesteps 39751040, FPS 273, mean/median reward 37.5/16.0, min/max reward 0.0/155.0, entropy 1.84915, value loss 0.09501, policy loss 0.06965, time 2419.69723 min
Updates 62120, num timesteps 39757440, FPS 273, mean/median reward 36.4/15.0, min/max reward 0.0/155.0, entropy 1.87591, value loss 0.02583, policy loss 0.02457, time 2419.99673 min
Updates 62130, num timesteps 39763840, FPS 273, mean/median reward 35.0/15.0, min/max reward 0.0/155.0, entropy 1.80744, value loss 0.13231, policy loss 0.02463, time 2420.29047 min
Updates 62140, num timesteps 39770240, FPS 273, mean/median reward 34.5/15.0, min/max reward 0.0/155.0, entropy 1.83053, value loss 0.16697, policy loss 0.06612, time 2420.58175 min
Updates 62150, num timesteps 39776640, FPS 273, mean/median reward 33.8/15.0, min/max reward 0.0/149.0, entropy 1.88527, value loss 0.03094, policy loss -0.01757, time 2420.87748 min
Updates 62160, num timesteps 39783040, FPS 273, mean/median reward 33.5/13.0, min/max reward 0.0/149.0, entropy 1.84667, value loss 0.04575, policy loss -0.01717, time 2421.17520 min
Updates 62170, num timesteps 39789440, FPS 273, mean/median reward 34.1/14.0, min/max reward 0.0/149.0, entropy 1.84899, value loss 0.02543, policy loss -0.00854, time 2421.47316 min
Updates 62180, num timesteps 39795840, FPS 273, mean/median reward 34.1/13.0, min/max reward 0.0/149.0, entropy 1.84438, value loss 0.04093, policy loss -0.00970, time 2421.76085 min
Updates 62190, num timesteps 39802240, FPS 273, mean/median reward 33.7/13.0, min/max reward 0.0/149.0, entropy 1.87826, value loss 0.16311, policy loss 0.10624, time 2422.05555 min
Updates 62200, num timesteps 39808640, FPS 273, mean/median reward 32.8/13.0, min/max reward 0.0/149.0, entropy 1.90020, value loss 0.07383, policy loss 0.03306, time 2422.34541 min
Updates 62210, num timesteps 39815040, FPS 273, mean/median reward 31.3/13.0, min/max reward 0.0/149.0, entropy 1.87340, value loss 0.05074, policy loss -0.07309, time 2422.65591 min
Updates 62220, num timesteps 39821440, FPS 273, mean/median reward 32.1/13.0, min/max reward 0.0/149.0, entropy 1.83045, value loss 0.04157, policy loss -0.03006, time 2422.95069 min
Updates 62230, num timesteps 39827840, FPS 273, mean/median reward 31.8/13.0, min/max reward 0.0/149.0, entropy 1.83873, value loss 0.03610, policy loss -0.06082, time 2423.24516 min
Updates 62240, num timesteps 39834240, FPS 273, mean/median reward 32.9/14.0, min/max reward 0.0/149.0, entropy 1.88160, value loss 0.04214, policy loss -0.03034, time 2423.53896 min
Updates 62250, num timesteps 39840640, FPS 273, mean/median reward 30.6/12.0, min/max reward 0.0/148.0, entropy 1.82727, value loss 0.04095, policy loss -0.00497, time 2423.83585 min
Updates 62260, num timesteps 39847040, FPS 273, mean/median reward 31.3/13.0, min/max reward 0.0/148.0, entropy 1.83544, value loss 0.04834, policy loss -0.05342, time 2424.12780 min
Updates 62270, num timesteps 39853440, FPS 273, mean/median reward 31.1/12.0, min/max reward 0.0/148.0, entropy 1.83668, value loss 0.04485, policy loss -0.07180, time 2424.42069 min
Updates 62280, num timesteps 39859840, FPS 273, mean/median reward 30.8/13.0, min/max reward 0.0/148.0, entropy 1.82872, value loss 0.04066, policy loss 0.00571, time 2424.70748 min
Updates 62290, num timesteps 39866240, FPS 273, mean/median reward 30.5/13.0, min/max reward 0.0/148.0, entropy 1.83473, value loss 0.05238, policy loss 0.00347, time 2424.99948 min
